number,debate_id,title,topic,classification_rationale,theist_side,theist_speaker,non_theist_speaker,theist_score,non_theist_score,margin,generation
30,lowder-turek-naturalism-theism-2016,Jeffery Jay Lowder vs Frank Turek: Naturalism or Theism?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",con,Frank Turek,Jeffery Jay Lowder,70,85,15.0,earlier
31,oconnor-craig-resurrection-2023,Alex O'Connor vs William Lane Craig: Did Jesus Rise From the Dead?,Resurrection,The historicity or explanatory adequacy of Jesus' resurrection is the central burden.,pro,William Lane Craig,Alex O'Connor,86,88,2.0,earlier
33,craig-carroll-god-cosmology-2014,William Lane Craig vs Sean Carroll: God and Cosmology,"Cosmology, science & design","Cosmology, origins, fine-tuning, science, biological complexity, or an inference to design is the central burden.",pro,William Lane Craig,Sean Carroll,83,90,7.0,earlier
36,carroll-halvorson-metaphysics-worldview-2016,Sean Carroll vs Hans Halvorson: Metaphysics,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",con,Hans Halvorson,Sean Carroll,87,84,-3.0,earlier
37,ehrman-bass-resurrection-history-2023,Bart Ehrman vs Justin Bass: Did Jesus of Nazareth Rise From the Dead?,Resurrection,The historicity or explanatory adequacy of Jesus' resurrection is the central burden.,pro,Justin Bass,Bart Ehrman,78,88,10.0,earlier
39,lambert-jones-christian-faith-skepticism-2021,Derek Lambert vs Michael Jones: Atheist and Christian Discussion,"Scripture, revelation & doctrine","A scriptural claim, revelation, Christian doctrine, or the epistemic standing of faith is the central burden.",pro,Michael Jones,Derek Lambert,79,81,2.0,earlier
42,schmid-tomaszewski-divine-simplicity-2020,Joe Schmid vs Chris Tomaszewski: Is Divine Simplicity True?,"Scripture, revelation & doctrine","A scriptural claim, revelation, Christian doctrine, or the epistemic standing of faith is the central burden.",pro,Chris Tomaszewski,Joe Schmid,86,87,1.0,earlier
43,meyer-halper-cosmology-fine-tuning-2026,Stephen Meyer vs Phil Halper: The Big Bang and Fine-Tuning,"Cosmology, science & design","Cosmology, origins, fine-tuning, science, biological complexity, or an inference to design is the central burden.",pro,Stephen Meyer,Phil Halper,79,90,11.0,earlier
46,shapiro-oconnor-atheist-delusion-society-2023,"Ben Shapiro vs Alex O'Connor: The Atheist Delusion, Free Will, and Society","Religion, culture & meaning","Religion's social value, existential role, identity, practical effects, or comparative cultural standing is the central burden.",pro,Ben Shapiro,Alex O'Connor,71,87,16.0,earlier
47,jones-krauss-christianity-secular-ethics-2025,Michael Jones vs Lawrence Krauss: Christianity or Secular Ethics - What's Best for Society?,Morality & ethics,"Objective moral truth, moral grounding, ethical authority, or the moral implications of a worldview is the central burden.",pro,Michael Jones,Lawrence Krauss,79,76,-3.0,earlier
48,scrivener-folley-hiddenness-evil-moral-narrative-2025,"Glen Scrivener vs Joe Folley: Morality, Evil, Consciousness, and Christian Narrative","Evil, suffering & hiddenness","Suffering, divine hiddenness, divine goodness, or the evidential problem of evil is the central burden.",pro,Glen Scrivener,Joe Folley,74,84,10.0,earlier
49,dyer-dillahunty-transcendental-theism-2019,Jay Dyer vs Matt Dillahunty: Transcendental Argument for Theism,"Mind, reason & logic","Consciousness, rationality, free will, logic, intelligibility, or reason's grounding is the central burden.",pro,Jay Dyer,Matt Dillahunty,76,89,13.0,earlier
50,knechtle-dillahunty-christianity-true-2023,Cliffe Knechtle vs Matt Dillahunty: Is Christianity True?,"Scripture, revelation & doctrine","A scriptural claim, revelation, Christian doctrine, or the epistemic standing of faith is the central burden.",pro,Cliffe Knechtle,Matt Dillahunty,73,90,17.0,earlier
51,lennox-atkins-duelling-professors-2012,John Lennox vs Peter Atkins: Duelling Professors on Science and God,"Cosmology, science & design","Cosmology, origins, fine-tuning, science, biological complexity, or an inference to design is the central burden.",pro,John Lennox,Peter Atkins,79,72,-7.0,earlier
52,horn-dillahunty-resurrection-reasonable-2021,Trent Horn vs Matt Dillahunty: Is Belief in the Resurrection Reasonable?,Resurrection,The historicity or explanatory adequacy of Jesus' resurrection is the central burden.,pro,Trent Horn,Matt Dillahunty,82,83,1.0,earlier
53,oconnor-dsouza-bible-true-2024,Alex O'Connor vs Dinesh D'Souza: Is the Bible True?,"Scripture, revelation & doctrine","A scriptural claim, revelation, Christian doctrine, or the epistemic standing of faith is the central burden.",pro,Dinesh D'Souza,Alex O'Connor,76,91,15.0,earlier
54,jones-law-christianity-humanism-future-2025,Michael Jones vs Stephen Law: Christianity vs Humanism,Morality & ethics,"Objective moral truth, moral grounding, ethical authority, or the moral implications of a worldview is the central burden.",pro,Michael Jones,Stephen Law,72,81,9.0,earlier
55,craig-malpass-kalam-nothing-2026,William Lane Craig vs Alex Malpass: Can Something Come From Nothing?,"Cosmology, science & design","Cosmology, origins, fine-tuning, science, biological complexity, or an inference to design is the central burden.",pro,William Lane Craig,Alex Malpass,75,91,16.0,earlier
57,scrivener-dillahunty-atheism-morality-2020,Glen Scrivener vs Matt Dillahunty: Can Atheism Deliver a Better World?,Morality & ethics,"Objective moral truth, moral grounding, ethical authority, or the moral implications of a worldview is the central burden.",pro,Glen Scrivener,Matt Dillahunty,77,86,9.0,earlier
58,dillahunty-slick-secular-humanism-christianity-2016,Matt Dillahunty vs Matt Slick: Is Secular Humanism Superior to Christianity?,Morality & ethics,"Objective moral truth, moral grounding, ethical authority, or the moral implications of a worldview is the central burden.",con,Matt Slick,Matt Dillahunty,74,82,8.0,earlier
59,bollore-halper-god-science-evidence-2026,Michel-Yves Bollore vs Phil Halper: Does Science Point to God?,"Cosmology, science & design","Cosmology, origins, fine-tuning, science, biological complexity, or an inference to design is the central burden.",pro,Michel-Yves Bollore,Phil Halper,69,88,19.0,earlier
60,horn-oconnor-jesus-resurrection-2026,Trent Horn vs Alex O'Connor: Did Jesus Rise From the Dead?,Resurrection,The historicity or explanatory adequacy of Jesus' resurrection is the central burden.,pro,Trent Horn,Alex O'Connor,78,86,8.0,earlier
61,scrivener-oconnor-morality-bible-slavery-2026,"Glen Scrivener vs Alex O'Connor: Morality, Freedom, Slavery, and the Bible",Morality & ethics,"Objective moral truth, moral grounding, ethical authority, or the moral implications of a worldview is the central burden.",pro,Glen Scrivener,Alex O'Connor,81,89,8.0,earlier
62,pageau-folley-logos-meaning-resurrection-2026,"Jonathan Pageau vs Joe Folley: Genesis, Jesus, Science, and Faith","Religion, culture & meaning","Religion's social value, existential role, identity, practical effects, or comparative cultural standing is the central burden.",pro,Jonathan Pageau,Joe Folley,76,88,12.0,earlier
63,butt-shermer-god-bible-2023,Kyle Butt vs Michael Shermer: Does the God of the Bible Exist?,"Scripture, revelation & doctrine","A scriptural claim, revelation, Christian doctrine, or the epistemic standing of faith is the central burden.",pro,Kyle Butt,Michael Shermer,71,86,15.0,earlier
64,pine-watkins-god-existence-2020,Gregory Pine vs Ben Watkins: Does God Exist?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,Gregory Pine,Ben Watkins,79,86,7.0,earlier
65,donahue-malpass-fine-tuning-god-2026,Miles K. Donahue vs Alex Malpass: Does Fine-Tuning Point to God?,"Cosmology, science & design","Cosmology, origins, fine-tuning, science, biological complexity, or an inference to design is the central burden.",pro,Miles K. Donahue,Alex Malpass,79,80,1.0,earlier
66,donahue-fodor-case-against-christianity-2025,Miles K. Donahue vs James Fodor: The Case Against Christianity,"Scripture, revelation & doctrine","A scriptural claim, revelation, Christian doctrine, or the epistemic standing of faith is the central burden.",pro,Miles K. Donahue,James Fodor,81,83,2.0,earlier
67,jones-fodor-digital-physics-god-2021,Michael Jones vs James Fodor: The Digital Physics Argument for God,"Mind, reason & logic","Consciousness, rationality, free will, logic, intelligibility, or reason's grounding is the central burden.",pro,Michael Jones,James Fodor,71,87,16.0,earlier
68,jones-dillahunty-quantum-idealism-demonstrability-2026,Michael Jones vs Matt Dillahunty: Quantum Idealism and Demonstrability,"Mind, reason & logic","Consciousness, rationality, free will, logic, intelligibility, or reason's grounding is the central burden.",pro,Michael Jones,Matt Dillahunty,69,86,17.0,earlier
69,winger-dillahunty-resurrection-unreasonable-2019,Mike Winger vs Matt Dillahunty: Is Belief in the Resurrection Unreasonable?,Resurrection,The historicity or explanatory adequacy of Jesus' resurrection is the central burden.,pro,Mike Winger,Matt Dillahunty,80,86,6.0,earlier
70,malpass-anderson-logic-god-2021,Alex Malpass vs James Anderson: Does Logic Prove God?,"Mind, reason & logic","Consciousness, rationality, free will, logic, intelligibility, or reason's grounding is the central burden.",pro,James Anderson,Alex Malpass,86,82,-4.0,earlier
72,dyer-malpass-tag-argument-2019,Jay Dyer vs Alex Malpass: The TAG Argument,"Mind, reason & logic","Consciousness, rationality, free will, logic, intelligibility, or reason's grounding is the central burden.",pro,Jay Dyer,Alex Malpass,74,91,17.0,earlier
74,rasmussen-malpass-suffering-causal-finitism-2021,"Josh Rasmussen vs Alex Malpass: Suffering, Theism, and Causal Finitism","Evil, suffering & hiddenness","Suffering, divine hiddenness, divine goodness, or the evidential problem of evil is the central burden.",pro,Josh Rasmussen,Alex Malpass,82,89,7.0,earlier
75,rasmussen-clifton-contingency-argument-2019,Josh Rasmussen vs Scott Clifton: Is the Contingency Argument Persuasive?,"Cosmology, science & design","Cosmology, origins, fine-tuning, science, biological complexity, or an inference to design is the central burden.",pro,Josh Rasmussen,Scott Clifton,79,87,8.0,earlier
76,craig-oppy-mathematics-theism-2020,William Lane Craig vs Graham Oppy: Does Math Point to God?,"Mind, reason & logic","Consciousness, rationality, free will, logic, intelligibility, or reason's grounding is the central burden.",pro,William Lane Craig,Graham Oppy,81,84,3.0,earlier
77,feser-oppy-arguments-for-god-2020,Ed Feser vs Graham Oppy: Are There Any Good Arguments for God?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,Ed Feser,Graham Oppy,86,81,-5.0,earlier
78,albrecht-oppy-resurrection-ancient-christianity-2023,William Albrecht vs Graham Oppy: Resurrection and Ancient Christianity,Resurrection,The historicity or explanatory adequacy of Jesus' resurrection is the central burden.,pro,William Albrecht,Graham Oppy,76,83,7.0,earlier
79,swinburne-oppy-theism-probability-2022,Richard Swinburne vs Graham Oppy: Is Theism Probable?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,Richard Swinburne,Graham Oppy,80,85,5.0,earlier
80,rasmussen-schmid-argument-from-limits-2023,Josh Rasmussen vs Joe Schmid: The Argument from Limits,"Mind, reason & logic","Consciousness, rationality, free will, logic, intelligibility, or reason's grounding is the central burden.",pro,Josh Rasmussen,Joe Schmid,84,90,6.0,earlier
81,rasmussen-oppy-ultimate-reality-naturalism-2020,"Josh Rasmussen vs Graham Oppy: Theism, Naturalism, and Ultimate Reality",General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,Josh Rasmussen,Graham Oppy,81,85,4.0,earlier
83,loke-oppy-kalam-causal-principle-2020,Andrew Loke vs Graham Oppy: Is the Kalam Sound?,"Cosmology, science & design","Cosmology, origins, fine-tuning, science, biological complexity, or an inference to design is the central burden.",pro,Andrew Loke,Graham Oppy,74,86,12.0,earlier
85,atkins-fox-god-science-future-humanity-2024,Peter Atkins vs Keith Fox: God vs Science Debate,"Cosmology, science & design","Cosmology, origins, fine-tuning, science, biological complexity, or an inference to design is the central burden.",con,Keith Fox,Peter Atkins,85,70,-15.0,earlier
86,egnor-dillahunty-god-existence-2021,Michael Egnor vs Matt Dillahunty: Does God Exist?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,Michael Egnor,Matt Dillahunty,71,83,12.0,earlier
87,christopoulos-dillahunty-resurrection-historical-event-2024,Than Christopoulos vs Matt Dillahunty: Is the Resurrection a Historical Event?,Resurrection,The historicity or explanatory adequacy of Jesus' resurrection is the central burden.,pro,Than Christopoulos,Matt Dillahunty,79,88,9.0,earlier
88,sechler-dillahunty-perfect-mind-universe-2022,Zac Sechler vs Matt Dillahunty: Did a Perfect Mind Create the Universe?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,Zac Sechler,Matt Dillahunty,79,83,4.0,earlier
89,bignon-oppy-religious-experience-god-2022,Guillaume Bignon vs Graham Oppy: Religious Experience and the Case for God,"Religion, culture & meaning","Religion's social value, existential role, identity, practical effects, or comparative cultural standing is the central burden.",pro,Guillaume Bignon,Graham Oppy,82,87,5.0,earlier
90,akin-ehrman-gospels-historically-reliable-2022,Jimmy Akin vs Bart Ehrman: Are the Gospels Historically Reliable?,"Scripture, revelation & doctrine","A scriptural claim, revelation, Christian doctrine, or the epistemic standing of faith is the central burden.",pro,Jimmy Akin,Bart Ehrman,81,88,7.0,earlier
91,cutter-oppy-mind-brain-harmony-god-2025,Brian Cutter vs Graham Oppy: Does Mind-Brain Harmony Point to God?,"Mind, reason & logic","Consciousness, rationality, free will, logic, intelligibility, or reason's grounding is the central burden.",pro,Brian Cutter,Graham Oppy,85,85,0.0,earlier
92,craig-malpass-universe-begin-exist-2020,William Lane Craig vs Alex Malpass: Did the Universe Begin to Exist?,"Cosmology, science & design","Cosmology, origins, fine-tuning, science, biological complexity, or an inference to design is the central burden.",pro,William Lane Craig,Alex Malpass,79,90,11.0,earlier
93,hunter-dillahunty-christian-god-exist-2019,Braxton Hunter vs Matt Dillahunty: Does the Christian God Exist?,"Scripture, revelation & doctrine","A scriptural claim, revelation, Christian doctrine, or the epistemic standing of faith is the central burden.",pro,Braxton Hunter,Matt Dillahunty,77,86,9.0,earlier
94,swinburne-huemer-theism-coherent-2026,Richard Swinburne vs Michael Huemer: Is Theism Coherent?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,Richard Swinburne,Michael Huemer,75,83,8.0,earlier
97,holland-grayling-christianity-human-values-2019,Tom Holland vs A. C. Grayling: Did Christianity Give Us Our Human Values?,Morality & ethics,"Objective moral truth, moral grounding, ethical authority, or the moral implications of a worldview is the central burden.",pro,Tom Holland,A. C. Grayling,78,84,6.0,earlier
98,craig-grayling-evil-god-reasonable-2011,William Lane Craig vs A. C. Grayling: Is Belief in God Reasonable in Light of Evil?,"Evil, suffering & hiddenness","Suffering, divine hiddenness, divine goodness, or the evidential problem of evil is the central burden.",pro,William Lane Craig,A. C. Grayling,84,86,2.0,earlier
99,jones-jump-digital-physics-god-2019,Michael Jones vs Tom Jump: Does God Exist?,"Mind, reason & logic","Consciousness, rationality, free will, logic, intelligibility, or reason's grounding is the central burden.",pro,Michael Jones,Tom Jump,76,80,4.0,earlier
100,jones-dillahunty-emergent-mind-god-2020,Michael Jones vs Matt Dillahunty: Reason to Believe in God?,"Mind, reason & logic","Consciousness, rationality, free will, logic, intelligibility, or reason's grounding is the central burden.",pro,Michael Jones,Matt Dillahunty,73,91,18.0,earlier
101,woodford-scrivener-religion-poisons-everything-2026,Stephen Woodford vs Glen Scrivener: Does Religion Poison Everything?,"Religion, culture & meaning","Religion's social value, existential role, identity, practical effects, or comparative cultural standing is the central burden.",con,Glen Scrivener,Stephen Woodford,80,83,3.0,earlier
102,woodford-brierley-christianity-rational-2019,Stephen Woodford vs Justin Brierley: Is Christianity Rational?,"Scripture, revelation & doctrine","A scriptural claim, revelation, Christian doctrine, or the epistemic standing of faith is the central burden.",con,Justin Brierley,Stephen Woodford,77,82,5.0,earlier
103,woodford-edwards-rational-belief-god-2023,Stephen Woodford vs Simon Edwards: Is It Rational to Believe in God?,"Evil, suffering & hiddenness","Suffering, divine hiddenness, divine goodness, or the evidential problem of evil is the central burden.",con,Simon Edwards,Stephen Woodford,78,82,4.0,earlier
104,oconnor-baker-hytch-argument-from-reason-2020,Alex O'Connor vs Max Baker-Hytch: The Argument for God From Reason,"Mind, reason & logic","Consciousness, rationality, free will, logic, intelligibility, or reason's grounding is the central burden.",pro,Max Baker-Hytch,Alex O'Connor,84,82,-2.0,earlier
106,peterson-blackmore-god-meaning-life-2018,Jordan Peterson vs Susan Blackmore: Do We Need God to Make Sense of Life?,"Religion, culture & meaning","Religion's social value, existential role, identity, practical effects, or comparative cultural standing is the central burden.",pro,Jordan Peterson,Susan Blackmore,74,85,11.0,earlier
107,lennox-ruse-science-faith-evidence-god-2018,"John Lennox vs Michael Ruse: Science, Faith, and the Evidence for God","Cosmology, science & design","Cosmology, origins, fine-tuning, science, biological complexity, or an inference to design is the central burden.",pro,John Lennox,Michael Ruse,79,85,6.0,earlier
108,ward-ruse-mind-consciousness-god-2013,"Keith Ward vs Michael Ruse: Mind, Consciousness, and God","Mind, reason & logic","Consciousness, rationality, free will, logic, intelligibility, or reason's grounding is the central burden.",pro,Keith Ward,Michael Ruse,80,82,2.0,earlier
109,mclatchie-oconnor-theism-naturalism-reality-2022,Jonathan McLatchie vs Alex O'Connor: Theism or Naturalism?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,Jonathan McLatchie,Alex O'Connor,74,83,9.0,earlier
112,copan-woodford-belief-god-reasonable-2024,Paul Copan vs Stephen Woodford: Is Belief in God Reasonable?,General theism / naturalism,"The motion broadly compares theism, atheism, or naturalism without one narrower topic dominating the stated burden.",pro,Paul Copan,Stephen Woodford,78,81,3.0,earlier
113,dirckx-woodford-god-suffering-2024,Sharon Dirckx vs Stephen Woodford: Why Doesn't God Stop Suffering?,"Evil, suffering & hiddenness","Suffering, divine hiddenness, divine goodness, or the evidential problem of evil is the central burden.",pro,Sharon Dirckx,Stephen Woodford,79,80,1.0,earlier
114,dirckx-goff-consciousness-points-god-2019,Sharon Dirckx vs Philip Goff: Does Consciousness Point to God?,"Mind, reason & logic","Consciousness, rationality, free will, logic, intelligibility, or reason's grounding is the central burden.",pro,Sharon Dirckx,Philip Goff,79,81,2.0,earlier
116,bertuzzi-schieber-evil-evidence-2019,Cameron Bertuzzi vs Justin Schieber: The Problem of Evil,"Evil, suffering & hiddenness","Suffering, divine hiddenness, divine goodness, or the evidential problem of evil is the central burden.",pro,Cameron Bertuzzi,Justin Schieber,78,87,9.0,earlier
117,bertuzzi-oconnor-contingency-argument-2018,Alex O'Connor vs Cameron Bertuzzi: Something From Nothing?,"Cosmology, science & design","Cosmology, origins, fine-tuning, science, biological complexity, or an inference to design is the central burden.",pro,Cameron Bertuzzi,Alex O'Connor,81,87,6.0,earlier
118,hernandez-schieber-god-existence-2023,Eric Hernandez vs Justin Schieber: Does God Exist?,"Evil, suffering & hiddenness","Suffering, divine hiddenness, divine goodness, or the evidential problem of evil is the central burden.",pro,Eric Hernandez,Justin Schieber,74,85,11.0,earlier
119,jones-oconnor-hell-2023,Michael Jones vs Alex O'Connor: Does God Send People to Hell?,"Evil, suffering & hiddenness","Suffering, divine hiddenness, divine goodness, or the evidential problem of evil is the central burden.",pro,Michael Jones,Alex O'Connor,80,87,7.0,earlier
120,mclatchie-oconnor-christianity-true-2019,Jonathan McLatchie vs Alex O'Connor: Is Christianity True?,"Scripture, revelation & doctrine","A scriptural claim, revelation, Christian doctrine, or the epistemic standing of faith is the central burden.",pro,Jonathan McLatchie,Alex O'Connor,83,83,0.0,earlier
121,dawkins-lennox-science-buried-god-2017,Richard Dawkins vs John Lennox: Has Science Buried God?,"Cosmology, science & design","Cosmology, origins, fine-tuning, science, biological complexity, or an inference to design is the central burden.",pro,John Lennox,Richard Dawkins,76,82,6.0,earlier
122,horn-oconnor-god-existence-2020,Trent Horn vs Alex O'Connor: Does God Exist?,"Evil, suffering & hiddenness","Suffering, divine hiddenness, divine goodness, or the evidential problem of evil is the central burden.",pro,Trent Horn,Alex O'Connor,77,83,6.0,earlier
123,oconnor-pine-divine-hiddenness-2024,Gregory Pine vs Alex O'Connor: The Divine Hiddenness Problem,"Evil, suffering & hiddenness","Suffering, divine hiddenness, divine goodness, or the evidential problem of evil is the central burden.",pro,Gregory Pine,Alex O'Connor,74,87,13.0,earlier
124,harris-peterson-god-atheism-bible-2018,"Sam Harris vs Jordan Peterson: God, Atheism, The Bible, Jesus","Religion, culture & meaning","Religion's social value, existential role, identity, practical effects, or comparative cultural standing is the central burden.",pro,Jordan Peterson,Sam Harris,78,84,6.0,earlier
126,craig-clifton-kalam-cosmological-argument-2021,William Lane Craig vs Scott Clifton: The Kalam Cosmological Argument,"Cosmology, science & design","Cosmology, origins, fine-tuning, science, biological complexity, or an inference to design is the central burden.",pro,William Lane Craig,Scott Clifton,82,88,6.0,earlier
127,slick-clifton-objective-morality-god-2014,Matt Slick vs Scott Clifton: Does Objective Morality Require God?,Morality & ethics,"Objective moral truth, moral grounding, ethical authority, or the moral implications of a worldview is the central burden.",pro,Matt Slick,Scott Clifton,70,89,19.0,earlier
128,craig-law-evil-god-challenge-2011,William Lane Craig vs Stephen Law: Does God Exist?,"Evil, suffering & hiddenness","Suffering, divine hiddenness, divine goodness, or the evidential problem of evil is the central burden.",pro,William Lane Craig,Stephen Law,76,88,12.0,earlier
