number,debate_id,title,label,motion,cohort,pro_speaker,con_speaker,pro_score,con_score,con_minus_pro,higher_side,in_169_theist_non_theist_set,theist_side
36,carroll-halvorson-metaphysics-worldview-2016,Sean Carroll vs Hans Halvorson: Metaphysics,Metaphysics and scientific worldview,"How should scientific knowledge be integrated into naturalist and theistic worldviews, and do cosmology, fine-tuning, quantum mechanics, consciousness, morality, and meaning favor either metaphysical picture?",closed,Sean Carroll,Hans Halvorson,84.0,87.0,3.0,con,True,con
87,christopoulos-dillahunty-resurrection-historical-event-2024,Than Christopoulos vs Matt Dillahunty: Is the Resurrection a Historical Event?,Resurrection probability and source reliability,Does the historical evidence make Jesus' resurrection more probable than competing hypotheses?,closed,Than Christopoulos,Matt Dillahunty,79.0,88.0,9.0,con,True,pro
223,collins-dawkins-science-belief-god-2022,Science and Belief in God: Francis Collins vs. Richard Dawkins (2022),Scientific understanding and belief in God,Does scientific understanding leave rational grounds for belief in God?,standalone,Francis Collins,Richard Dawkins,76.0,83.0,7.0,con,True,pro
17,collins-oconnor-god-existence-2024,Francis Collins vs Alex O'Connor: Does God Exist?,Science and faith,"Do fine-tuning, morality, resurrection, revelation, and beauty make Christian theism more plausible than O'Connor's skeptical agnosticism?",closed,Francis Collins,Alex O'Connor,79.0,88.0,9.0,con,True,pro
142,comfort-dillahunty-gospel-atonement-2020,Ray Comfort vs Matt Dillahunty: Does the Gospel Make Sense?,Gospel atonement and moral responsibility,"Does the Christian gospel's account of sin, atonement, and salvation make moral and explanatory sense?",closed,Ray Comfort,Matt Dillahunty,68.0,86.0,18.0,con,True,pro
112,copan-woodford-belief-god-reasonable-2024,Paul Copan vs Stephen Woodford: Is Belief in God Reasonable?,Reasonable belief in God,"Is belief in God reasonable, given cosmology, fine-tuning, consciousness, rationality, morality, evil, religious history, and the record of scientific explanation?",closed,Paul Copan,Stephen Woodford,78.0,81.0,3.0,con,True,pro
166,craig-atkins-does-god-exist-2011,William Lane Craig vs Peter Atkins: Does God Exist?,Theistic arguments and scientific naturalism,Does God exist as the transcendent personal cause and moral foundation of reality?,closed,William Lane Craig,Peter Atkins,83.0,73.0,-10.0,pro,True,pro
212,craig-carrier-resurrection-2009,Resurrection Evidence and Naturalistic Alternatives: William Lane Craig vs. Richard Carrier (2009),"Resurrection evidence, Gospel sources, and natural explanations",Did Jesus rise from the dead?,standalone,William Lane Craig,Richard Carrier,80.0,80.0,0.0,tie,True,pro
33,craig-carroll-god-cosmology-2014,William Lane Craig vs Sean Carroll: God and Cosmology,God and cosmological models,"Does contemporary cosmology make God's existence more probable, or do naturalistic cosmological models better explain the universe without theism?",closed,William Lane Craig,Sean Carroll,83.0,90.0,7.0,con,True,pro
126,craig-clifton-kalam-cosmological-argument-2021,William Lane Craig vs Scott Clifton: The Kalam Cosmological Argument,Kalam cosmological argument,"Does the Kalam causal premise justify a transcendent cause of the universe, or is ordinary causation too bound to space, time, and material conditions to support that inference?",closed,William Lane Craig,Scott Clifton,82.0,88.0,6.0,con,True,pro
163,craig-draper-existence-of-god-1997,William Lane Craig vs Paul Draper: The Existence of God,God and comparative evidence,"Does the total evidence concerning the universe, life, morality, Jesus, religious experience, suffering, and hiddenness favor theism over naturalism?",closed,William Lane Craig,Paul Draper,78.0,85.0,7.0,con,True,pro
179,craig-ehrman-historical-evidence-resurrection-2006,William Lane Craig vs Bart Ehrman: Is There Historical Evidence for the Resurrection?,Historical evidence for Jesus' resurrection,Does the historical evidence make Jesus' bodily resurrection the best explanation of what followed his crucifixion?,closed,William Lane Craig,Bart Ehrman,84.0,83.0,-1.0,pro,True,pro
203,craig-flew-god-existence-1998,Does God Exist? William Lane Craig vs. Antony Flew (1998),Evidence for and against God's existence,Does God exist?,standalone,William Lane Craig,Antony Flew,74.0,77.0,3.0,con,True,pro
98,craig-grayling-evil-god-reasonable-2011,William Lane Craig vs A. C. Grayling: Is Belief in God Reasonable in Light of Evil?,Evil and divine reasonableness,"Is belief in God reasonable in light of tsunamis, childhood cancer, moral evil, and the apparent harshness of the natural world?",closed,William Lane Craig,AC Grayling,84.0,86.0,2.0,con,True,pro
10,craig-harris-moral-foundations-2011,William Lane Craig vs Sam Harris: The God Debate II,Moral foundations,Are the foundations of moral values and duties natural or supernatural?,closed,William Lane Craig,Sam Harris,79.0,79.0,0.0,tie,True,pro
2,craig-hitchens-god-existence-2009,William Lane Craig vs Christopher Hitchens: Does God Exist?,Christian theism and atheism,"Does God exist, and do cosmology, fine-tuning, morality, resurrection, suffering, and religion's record make Christian theism more plausible than atheism?",closed,William Lane Craig,Christopher Hitchens,78.0,82.0,4.0,con,True,pro
162,craig-kagan-god-morality-2009,William Lane Craig vs Shelly Kagan: Is God Necessary for Morality?,Moral grounding and ultimate accountability,"Is God necessary for objective moral values, duties, human significance, and accountability, or can a secular moral realism provide an adequate foundation?",closed,William Lane Craig,Shelly Kagan,76.0,85.0,9.0,con,True,pro
168,craig-krauss-evidence-god-2012,William Lane Craig vs Lawrence Krauss: Is There Evidence for God?,"Evidence, cosmology, and divine explanation","Does the greater weight of philosophical, scientific, moral, and historical evidence support God's existence?",closed,William Lane Craig,Lawrence Krauss,83.0,81.0,-2.0,pro,True,pro
128,craig-law-evil-god-challenge-2011,William Lane Craig vs Stephen Law: Does God Exist?,Evil God challenge and theism,"Does God exist, and do Craig's cumulative arguments overcome Law's evidential problem of evil and evil-God symmetry challenge?",closed,William Lane Craig,Stephen Law,76.0,88.0,12.0,con,True,pro
55,craig-malpass-kalam-nothing-2026,William Lane Craig vs Alex Malpass: Can Something Come From Nothing?,"Kalam, nothing, and infinity","Does the Kalam cosmological argument show that the universe began to exist, has a cause, and points to a personal creator?",closed,William Lane Craig,Alex Malpass,75.0,91.0,16.0,con,True,pro
92,craig-malpass-universe-begin-exist-2020,William Lane Craig vs Alex Malpass: Did the Universe Begin to Exist?,Kalam beginning and temporal infinity,Do actual-infinity and successive-addition arguments give adequate philosophical support for the Kalam claim that the universe began to exist?,closed,William Lane Craig,Alex Malpass,79.0,90.0,11.0,con,True,pro
161,craig-millican-does-god-exist-2011,William Lane Craig vs Peter Millican: Does God Exist?,God and skeptical empiricism,"Does the evidence from cosmology, fine-tuning, morality, Jesus' resurrection, and religious experience make Christian theism more reasonable than skeptical atheism?",closed,William Lane Craig,Peter Millican,75.0,87.0,12.0,con,True,pro
1,craig-oconnor-god-debate-2026,Alex O'Connor vs William Lane Craig: Does God Exist?,Christian theism and suffering,"Does God exist, and do cosmology, fine-tuning, morality, resurrection, and suffering support or undermine Christian theism?",closed,William Lane Craig,Alex O'Connor,76.0,82.0,6.0,con,True,pro
76,craig-oppy-mathematics-theism-2020,William Lane Craig vs Graham Oppy: Does Math Point to God?,Mathematics and theism,Does the surprising applicability of mathematics to the physical world support theism better than naturalism?,closed,William Lane Craig,Graham Oppy,81.0,84.0,3.0,con,True,pro
165,craig-rosenberg-faith-god-reasonable-2013,William Lane Craig vs Alex Rosenberg: Is Faith in God Reasonable?,"Theism, naturalism, and reasonable belief",Is belief in the personal God of classical theism intellectually reasonable?,closed,William Lane Craig,Alex Rosenberg,81.0,76.0,-5.0,pro,True,pro
167,craig-shook-existence-god-2008,William Lane Craig vs John Shook: The Existence of God,"Naturalism, supernaturalism, and explanatory bridges","Does the available philosophical, scientific, moral, historical, and experiential evidence support God's existence?",closed,William Lane Craig,John Shook,76.0,83.0,7.0,con,True,pro
200,craig-stenger-god-existence-2010,William Lane Craig vs Victor Stenger: Does God Exist?,God and scientific naturalism,Does God exist?,standalone,William Lane Craig,Victor Stenger,76.0,69.0,-7.0,pro,True,pro
164,craig-wielenberg-god-morality-2018,William Lane Craig vs Erik Wielenberg: God and Morality,Moral realism and divine authority,What is the best account of objective moral values and duties: the nature and commands of God or godless normative realism?,closed,William Lane Craig,Erik Wielenberg,80.0,84.0,4.0,con,True,pro
193,crossan-licona-historical-jesus-2018,John Dominic Crossan vs Michael Licona: Who Was the Historical Jesus?,"Gospels, miracles, identity, and resurrection","What can historians verify about Jesus, and do the sources support his divine identity and bodily resurrection?",closed,John Dominic Crossan,Michael Licona,82.0,84.0,2.0,con,False,
199,crummett-watkins-soul-existence-2020,Dustin Crummett vs Ben Watkins: Does the Soul Exist?,Soul and mind–body identity,Does the soul exist?,standalone,Dustin Crummett,Ben Watkins,82.0,81.0,-1.0,pro,False,
91,cutter-oppy-mind-brain-harmony-god-2025,Brian Cutter vs Graham Oppy: Does Mind-Brain Harmony Point to God?,Psychophysical harmony and theism,"Does psychophysical harmony, the apparent fit between conscious states and physical or functional states, provide evidence for God over naturalism?",closed,Brian Cutter,Graham Oppy,85.0,85.0,0.0,tie,True,pro
202,dawkins-lennox-god-delusion-2007,Is Belief in God a Delusion? Richard Dawkins vs. John Lennox (2007),The God Delusion and Christian theism,Is belief in the Christian God a delusion?,standalone,Richard Dawkins,John Lennox,76.0,72.0,-4.0,pro,True,con
121,dawkins-lennox-science-buried-god-2017,Richard Dawkins vs John Lennox: Has Science Buried God?,"Science, miracles, and God","Has science buried God, or can Christian theism still explain rationality, design, miracles, morality, and fine-tuning?",closed,John Lennox,Richard Dawkins,76.0,82.0,6.0,con,True,pro
185,dennett-caruso-free-will-responsibility-2021,Daniel Dennett vs Gregg Caruso: Free Will and Moral Responsibility,"Compatibilism, desert, and punishment","Does the natural human capacity for reasons-responsive control justify free will, moral desert, and responsibility practices?",closed,Daniel Dennett,Gregg Caruso,79.0,89.0,10.0,con,False,
147,dennett-clayton-naturalism-ultimate-reality-2012,Daniel Dennett vs Philip Clayton: Naturalism and Ultimate Reality,"Naturalism, mind, and ultimate reality","Does naturalism fully explain mind, intentionality, morality, and reality, or does a religious account of ultimate reality offer an additional explanatory framework?",closed,Daniel Dennett,Philip Clayton,85.0,82.0,-3.0,pro,True,con
145,dennett-dsouza-god-human-invention-2007,Daniel Dennett vs Dinesh D'Souza: Is God a Human Invention?,"Religion, naturalism, and divine explanation","Is God a human invention, or do cosmological fine-tuning, morality, consciousness, and religious experience provide rational support for a real divine creator?",closed,Daniel Dennett,Dinesh D'Souza,80.0,75.0,-5.0,pro,True,con
157,dillahunty-howitt-christianity-true-2023,Matt Dillahunty vs Lewis Howitt: Is Christianity True?,"Logic, reason, and divine grounding","Is Christianity true, and do the grounding of logic, a necessary cause, divine hiddenness, and the relation of reason to revelation support or undermine it?",closed,Lewis Howitt,Matt Dillahunty,71.0,88.0,17.0,con,True,pro
158,dillahunty-mclatchie-resurrection-evidence-2020,Matt Dillahunty vs Jonathan McLatchie: Is There Strong Evidence for the Resurrection?,"Resurrection, testimony, and history","Is there strong historical evidence that Jesus rose from the dead, or are the surviving Christian reports too indirect and insufficiently testable to establish a resurrection?",closed,Jonathan McLatchie,Matt Dillahunty,78.0,83.0,5.0,con,True,pro
58,dillahunty-slick-secular-humanism-christianity-2016,Matt Dillahunty vs Matt Slick: Is Secular Humanism Superior to Christianity?,Secular humanism and presuppositional critique,"Is secular humanism superior to Christianity at achieving human flourishing, rational decision-making, moral reasoning, and conflict resolution?",closed,Matt Dillahunty,Matt Slick,82.0,74.0,-8.0,pro,True,con
5,dillahunty-ten-bruggencate-reasonable-god-2014,Matt Dillahunty vs Sye Ten Bruggencate: Is It Reasonable to Believe God Exists?,Logic and presuppositions,"Is belief in God reasonable, and can truth, logic, knowledge, induction, and evidence be accounted for without Christian revelation?",closed,Sye Ten Bruggencate,Matt Dillahunty,64.0,88.0,24.0,con,True,pro
114,dirckx-goff-consciousness-points-god-2019,Sharon Dirckx vs Philip Goff: Does Consciousness Point to God?,Consciousness pointing to God,"Does consciousness point beyond materialism to God, or can a non-theistic panpsychist framework explain conscious experience without adding theism?",closed,Sharon Dirckx,Philip Goff,79.0,81.0,2.0,con,True,pro
113,dirckx-woodford-god-suffering-2024,Sharon Dirckx vs Stephen Woodford: Why Doesn't God Stop Suffering?,God and suffering,"Does the reality of suffering make belief in an all-powerful, all-loving God unreasonable, or does the Christian framework of a broken world, divine presence, justice, and future healing make better sense of it?",closed,Sharon Dirckx,Stephen Woodford,79.0,80.0,1.0,con,True,pro
66,donahue-fodor-case-against-christianity-2025,Miles K. Donahue vs James Fodor: The Case Against Christianity,"Christianity, evidence, and disagreement","Do philosophical arguments, biblical beauty, religious experience, and resurrection evidence make Christianity credible, or do evil, disagreement, expert dissent, and Christian moral failure make it unlikely?",closed,Miles Donahue,James Fodor,81.0,83.0,2.0,con,True,pro
65,donahue-malpass-fine-tuning-god-2026,Miles K. Donahue vs Alex Malpass: Does Fine-Tuning Point to God?,Fine-tuning priors and naturalism,"Does cosmic fine-tuning provide strong evidence for God, or can naturalistic alternatives, hypothesis-space ambiguity, and doubts about divine psychology undercut that inference?",closed,Miles Donahue,Alex Malpass,79.0,80.0,1.0,con,True,pro
136,douthat-ehrman-resurrection-gospel-history-2026,Ross Douthat vs Bart Ehrman: Did Jesus Rise From the Dead?,"Resurrection, Gospel testimony, and belief","How much historical confidence should readers place in the Gospels and resurrection accounts: reliable witness traces or later traditions shaped by memory, theology, and debate?",closed,Ross Douthat,Bart Ehrman,84.0,86.0,2.0,con,True,pro
217,douthat-oconnor-religious-belief-obligation-2026,Religious Belief as an Obligation: Ross Douthat vs. Alex O'Connor (2026),Religious belief and evidential obligation,Does the available evidence make religious belief an obligation?,standalone,Ross Douthat,Alex O'Connor,69.0,84.0,15.0,con,True,pro
6,dsouza-dillahunty-god-woman-2023,Dinesh D'Souza vs Matt Dillahunty: Does God Exist? What Is a Woman?,Theism and public reason,"Should beliefs about God, gender, politics, and social welfare be guided by faith-informed inference, empirical evidence, or secular-humanist consequences?",closed,Dinesh D'Souza,Matt Dillahunty,77.0,87.0,10.0,con,True,pro
11,dsouza-ehrman-god-suffering-evil-2025,"Dinesh D'Souza vs Bart Ehrman: God, Suffering, and Evil",Problem of evil,"Can belief in a loving, powerful God survive the scale of suffering and evil in the world?",closed,Dinesh D'Souza,Bart Ehrman,79.0,87.0,8.0,con,True,pro
49,dyer-dillahunty-transcendental-theism-2019,Jay Dyer vs Matt Dillahunty: Transcendental Argument for Theism,Transcendental theism and logic,"Does the transcendental argument show that Orthodox Christian theism is needed to ground logic, truth, induction, ethics, and knowledge?",closed,Jay Dyer,Matt Dillahunty,76.0,89.0,13.0,con,True,pro
72,dyer-malpass-tag-argument-2019,Jay Dyer vs Alex Malpass: The TAG Argument,"TAG, induction, and logic","Does the transcendental argument show that logic, induction, knowledge, and ethics require the Orthodox Christian God, or can those preconditions be understood without that presupposition?",closed,Jay Dyer,Alex Malpass,74.0,91.0,17.0,con,True,pro
86,egnor-dillahunty-god-existence-2021,Michael Egnor vs Matt Dillahunty: Does God Exist?,"Thomism, hiddenness, and morality","Does God exist, and do Thomistic proofs, moral law, and natural theology meet the burden of proof against skeptical atheism?",closed,Michael Egnor,Matt Dillahunty,71.0,83.0,12.0,con,True,pro
37,ehrman-bass-resurrection-history-2023,Bart Ehrman vs Justin Bass: Did Jesus of Nazareth Rise From the Dead?,Resurrection and historical method,"Did Jesus of Nazareth historically rise from the dead, and do the early resurrection appearances, the unexpected messianic claim, Christianity's spread, and later visions make that explanation plausible?",closed,Justin Bass,Bart Ehrman,78.0,88.0,10.0,con,True,pro
228,ehrman-evans-new-testament-misquote-jesus-2010,Does the New Testament Misquote Jesus? Bart Ehrman vs. Craig Evans (2010),New Testament reliability and Jesus,Does the New Testament misquote Jesus?,standalone,Bart Ehrman,Craig Evans,85.0,83.0,-2.0,pro,False,
178,ehrman-licona-who-wrote-gospels-2025,Bart Ehrman vs Michael Licona: Who Wrote the Gospels?,Authorship of the canonical Gospels,"Were the canonical Gospels written by, or under the authority of, Matthew, Mark, Luke, and John?",closed,Michael Licona,Bart Ehrman,81.0,87.0,6.0,con,True,pro
176,ehrman-peter-williams-gospels-historically-reliable-2018,Bart Ehrman vs Peter J. Williams: Are the Gospels Historically Reliable?,Historical reliability of the Gospels,"Are the canonical Gospels historically reliable accounts of Jesus' life, teaching, death, and resurrection?",closed,Peter J. Williams,Bart Ehrman,83.0,86.0,3.0,con,True,pro
135,ehrman-price-historical-jesus-mythicism-2016,Bart Ehrman vs Robert Price: Did Jesus Exist?,"Historical Jesus, mythicism, and textual evidence","Did a first-century Jewish preacher named Jesus exist behind the Christian traditions, or did Christianity develop from mythic and scriptural materials without such a person?",closed,Bart Ehrman,Robert Price,86.0,81.0,-5.0,pro,False,
177,ehrman-wallace-trust-text-new-testament-2011,Bart Ehrman vs Daniel B. Wallace: Can We Trust the Text of the New Testament?,New Testament textual reconstruction,Can textual criticism recover the wording of the original New Testament with enough confidence for the text to be trusted?,closed,Daniel B. Wallace,Bart Ehrman,83.0,88.0,5.0,con,True,pro
40,enoch-bush-objective-moral-truths-2026,David Enoch vs Lance Bush: Are There Objective Moral Truths?,Moral realism and anti-realism,"Are there objective moral truths, and does moral realism or global normative anti-realism better explain ordinary moral judgment, deliberation, language, and disagreement?",closed,David Enoch,Lance Bush,85.0,84.0,-1.0,pro,False,
183,enoch-clarke-doane-moral-realism-objectivity-2026,David Enoch vs Justin Clarke-Doane: Moral Realism and Objectivity,Moral realism and normative objectivity,Can stance-independent moral facts genuinely vindicate normative objectivity by settling what agents should do?,closed,David Enoch,Justin Clarke-Doane,84.0,88.0,4.0,con,False,
229,evans-carrier-did-jesus-exist-2016,Did Jesus Exist? Craig Evans vs. Richard Carrier (2016),Historicity of Jesus,Did Jesus exist?,standalone,Craig Evans,Richard Carrier,79.0,80.0,1.0,con,False,
198,ferrer-dillahunty-god-morality-2018,John Ferrer vs Matt Dillahunty: Do We Need God for Morality?,God and the foundations of morality,Do we need God for morality?,standalone,John Ferrer,Matt Dillahunty,67.0,83.0,16.0,con,True,pro
77,feser-oppy-arguments-for-god-2020,Ed Feser vs Graham Oppy: Are There Any Good Arguments for God?,Argument standards and Aristotelian proof,"Are there good arguments for God, and does Feser's Aristotelian proof survive Oppy's theory-comparison and persistence objections?",closed,Ed Feser,Graham Oppy,86.0,81.0,-5.0,pro,True,pro
141,fischer-dillahunty-axiomatic-evidence-god-2020,Ben Fischer vs Matt Dillahunty: Is There Good Evidence for God?,Axiomatic first cause and evidence,"Is there good evidence for God, rather than merely an asserted epistemic starting point?",closed,Ben Fischer,Matt Dillahunty,68.0,86.0,18.0,con,True,pro
34,goff-carroll-consciousness-fundamental-2023,Philip Goff vs Sean Carroll: Is Consciousness Fundamental?,Consciousness and physicalism,"Is consciousness a fundamental feature of reality, or can physicalism explain conscious experience through higher-level descriptions of the physical world?",closed,Philip Goff,Sean Carroll,84.0,84.0,0.0,tie,False,
181,habermas-flew-did-jesus-rise-dead-2000,Gary Habermas vs Antony Flew: Did Jesus Rise from the Dead?,Historical and philosophical evidence for resurrection,Does the historical evidence make Jesus' bodily resurrection a rational conclusion?,closed,Gary Habermas,Antony Flew,87.0,86.0,-1.0,pro,True,pro
146,harris-dennett-free-will-2018,Sam Harris vs Daniel Dennett: Does Free Will Exist?,"Determinism, agency, and responsibility","Does determinism or indeterminism undermine free will and moral responsibility, or can reasons-responsive agency provide a compatibilist form of freedom worth preserving?",closed,Sam Harris,Daniel Dennett,82.0,88.0,6.0,con,False,
19,harris-oconnor-objective-morality-2024,Sam Harris vs Alex O'Connor: Objective Morality and Emotivism,Moral landscape and emotivism,"Can objective morality be grounded in facts about conscious well-being, or does ethical language reduce to emotive expression plus instrumental science?",closed,Sam Harris,Alex O'Connor,77.0,88.0,11.0,con,False,
124,harris-peterson-god-atheism-bible-2018,"Sam Harris vs Jordan Peterson: God, Atheism, The Bible, Jesus","Religion, myth, and moral truth","Can religious stories, God-language, and biblical tradition ground moral truth and meaning, or should moral realism, well-being, and open inquiry replace dogmatic religious frameworks?",closed,Jordan Peterson,Sam Harris,78.0,84.0,6.0,con,True,pro
156,harris-prager-religion-morality-public-reason-2014,"Sam Harris vs Dennis Prager: Religion, Morality, and Public Reason","Religion, moral reasoning, and social order","Does religious belief better ground moral knowledge and identify social evil, or can secular ethical realism guide moral progress without sacred texts?",closed,Dennis Prager,Sam Harris,70.0,81.0,11.0,con,True,pro
216,harris-wolpe-religion-science-2007,"Religion, Science, and Meaning: Sam Harris vs. David Wolpe (2007)",Religious faith and secular naturalism,Does religion provide justified knowledge and meaning beyond science?,standalone,Rabbi David Wolpe,Sam Harris,68.0,83.0,15.0,con,True,pro
73,hawkins-folley-free-will-compatibilism-2026,Nathan Hawkins vs Joe Folley: Do We Really Have Free Will?,Libertarian freedom and compatibilism,"Does human freedom require libertarian alternative possibilities and sourcehood, or can compatibilist notions of will, responsibility, and practical agency survive determinism?",closed,Nathan Hawkins,Joe Folley,83.0,89.0,6.0,con,False,
133,hawkins-folley-free-will-idealism-2026,"Nathan Hawkins vs Joe Folley: Free Will, Compatibilism, and Idealism","Free will, agency, and idealism",Can libertarian free will and Bradleyan idealism answer determinist and naturalist pressure better than compatibilist pragmatism?,closed,Nathan Hawkins,Joe Folley,77.0,85.0,8.0,con,False,
201,hernandez-dillahunty-soul-existence-2015,Does the Soul Exist? Eric Hernandez vs. Matt Dillahunty (2015),"Soul, mind, and physical personhood",Does the soul exist?,standalone,Eric Hernandez,Matt Dillahunty,68.0,82.0,14.0,con,False,
118,hernandez-schieber-god-existence-2023,Eric Hernandez vs Justin Schieber: Does God Exist?,"Evil, mind, and hiddenness","Does theism or atheistic naturalism better explain evil, objective morality, knowledge, rationality, consciousness, free will, animal suffering, cosmic hostility, and non-resistant nonbelief?",closed,Eric Hernandez,Justin Schieber,74.0,85.0,11.0,con,True,pro
16,hirsi-ali-dawkins-god-debate-2024,Ayaan Hirsi Ali vs Richard Dawkins: The God Debate,Faith and civilization,"Can Hirsi Ali's Christian turn be justified by personal experience, truth, and civilizational need, or should Dawkins's atheist truth test reject it?",closed,Ayaan Hirsi Ali,Richard Dawkins,74.0,84.0,10.0,con,True,pro
220,hirsi-ali-oconnor-christian-conversion-2024,Does Christian Conversion Establish Truth? Ayaan Hirsi Ali vs. Alex O'Connor (2024),"Christian conversion, truth, and cultural value",Do personal transformation and Christianity's cultural value justify belief that Christianity is true?,standalone,Ayaan Hirsi Ali,Alex O'Connor,71.0,83.0,12.0,con,True,pro
171,hitchens-blair-religion-force-good-2010,Christopher Hitchens vs Tony Blair: Is Religion a Force for Good in the World?,Religion's social benefits and harms,"On balance, is religion a force for good in the world?",closed,Tony Blair,Christopher Hitchens,83.0,85.0,2.0,con,True,pro
3,hitchens-dsouza-religion-problem-2010,Christopher Hitchens vs Dinesh D'Souza: Is Religion the Problem?,Religion and public reason,"Is religion the problem, or does the God hypothesis better explain life, morality, purpose, and human experience than secular doubt?",closed,Christopher Hitchens,Dinesh D'Souza,83.0,75.0,-8.0,pro,True,con
20,hitchens-hitchens-iraq-god-2008,"Christopher Hitchens vs Peter Hitchens: Iraq, God, and Moral Authority","Iraq, God, and moral authority","Was the invasion of Iraq defensible, and does religion supply or corrupt moral authority?",closed,Christopher Hitchens,Peter Hitchens,79.0,77.0,-2.0,pro,True,con
