number,id,title,motion,cohort,theist_side,topic,narrow,reason,gap
13,knechtle-oconnor-christian-morality-2025,"Cliffe Knechtle vs Alex O'Connor: Christianity, Scripture, and Morality","Can Christianity's claims about forgiveness, morality, divine judgment, conquest, and slavery withstand skeptical objections?",earlier,pro,Morality & moral foundations,False,one published theistic/religious side and one published non-theistic/skeptical side,11
14,jones-carrier-god-existence-2025,Michael Jones vs Richard Carrier: Does God Exist?,"Does the evidence from consciousness, emergence, morality, and cosmology make theism more plausible than naturalism?",earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,-1
15,hitchens-lennox-is-god-great-2017,Christopher Hitchens vs John Lennox: Is God Great?,"Is God great, and does Christian theism better explain science, morality, dignity, and hope than Hitchens's anti-theistic critique?",earlier,pro,"Religion, culture & meaning",False,one published theistic/religious side and one published non-theistic/skeptical side,4
16,hirsi-ali-dawkins-god-debate-2024,Ayaan Hirsi Ali vs Richard Dawkins: The God Debate,"Can Hirsi Ali's Christian turn be justified by personal experience, truth, and civilizational need, or should Dawkins's atheist truth test reject it?",earlier,pro,"Religion, culture & meaning",False,one published theistic/religious side and one published non-theistic/skeptical side,10
17,collins-oconnor-god-existence-2024,Francis Collins vs Alex O'Connor: Does God Exist?,"Do fine-tuning, morality, resurrection, revelation, and beauty make Christian theism more plausible than O'Connor's skeptical agnosticism?",earlier,pro,"Cosmology, science & design",True,one published theistic/religious side and one published non-theistic/skeptical side,9
18,williams-goff-oldfield-oconnor-between-god-atheism-2024,"Rowan Williams, Philip Goff, Elizabeth Oldfield, and Alex O'Connor: Between God and Atheism","Do fine-tuning, suffering, religious experience, practice, and purpose make Christianity or a God-ish hypothesis more plausible than atheist skepticism?",unlocked,,,False,Multi-speaker or non-comparable scoring format,
19,harris-oconnor-objective-morality-2024,Sam Harris vs Alex O'Connor: Objective Morality and Emotivism,"Can objective morality be grounded in facts about conscious well-being, or does ethical language reduce to emotive expression plus instrumental science?",earlier,,,False,no position-level theist-vs-non-theist comparison,
20,hitchens-hitchens-iraq-god-2008,"Christopher Hitchens vs Peter Hitchens: Iraq, God, and Moral Authority","Was the invasion of Iraq defensible, and does religion supply or corrupt moral authority?",earlier,con,Morality & moral foundations,False,one published theistic/religious side and one published non-theistic/skeptical side,2
21,hitchens-wolpe-great-god-debate-2010,Christopher Hitchens vs Rabbi David Wolpe: The Great God Debate,"Does religious faith reveal God, moral meaning, and human freedom, or does it replace reason with projection, authority, and harmful consolation?",earlier,con,"Religion, culture & meaning",False,one published theistic/religious side and one published non-theistic/skeptical side,9
22,turek-hitchens-god-existence-2008,Frank Turek vs Christopher Hitchens: Does God Exist?,"Does God exist, and do cosmology, design, morality, consciousness, and Christian claims outweigh the anti-theist critique of religion?",earlier,pro,"Cosmology, science & design",True,one published theistic/religious side and one published non-theistic/skeptical side,7
23,oconnor-biddle-objective-morality-2024,Alex O'Connor vs Craig Biddle: Is Morality Objective?,"Is morality objectively grounded in the factual requirements of human life, or are moral claims expressions of emotion without truth value?",earlier,,,False,no position-level theist-vs-non-theist comparison,
24,hitchens-olasky-religion-grace-2007,"Christopher Hitchens vs Marvin Olasky: Religion, Grace, and Secular Morality","Does religion poison everything, or does Christianity provide grace, charity, moral transformation, and historical credibility that defeat that charge?",earlier,con,Morality & moral foundations,False,one published theistic/religious side and one published non-theistic/skeptical side,-2
25,hitchens-ramadan-islam-peace-2010,Christopher Hitchens vs Tariq Ramadan: Is Islam a Religion of Peace?,"Is Islam a religion of peace, or do its claims, institutions, and enforcement patterns make that description untenable?",earlier,con,"Scripture, revelation & doctrine",False,one published theistic/religious side and one published non-theistic/skeptical side,-2
26,turek-hitchens-reality-theism-atheism-2011,Frank Turek vs Christopher Hitchens: What Best Explains Reality?,"What best explains reality: theism, with a personal creator and revelation, or atheism, with no supernatural dimension?",earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,9
27,oconnor-turek-evil-moral-argument-2017,Alex O'Connor vs Frank Turek: The Moral Argument Debate,"Does evil and objective morality point to God, or can agnostic atheism explain moral experience without accepting a divine moral ground?",earlier,pro,"Evil, suffering & hiddenness",True,one published theistic/religious side and one published non-theistic/skeptical side,11
28,turek-shermer-reality-theism-atheism-2018,Frank Turek vs Michael Shermer: What Best Explains Reality?,"What best explains reality: theism grounded in God as the cause of creation, reason, information, morality, evil, and science, or skeptical naturalism grounded in evidence and scientific inquiry?",earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,11
29,turek-silverman-reality-theism-atheism-2013,Frank Turek vs David Silverman: Which Better Explains Reality?,"Which better explains reality: theism, with God as the ground of creation, reason, information, morality, evil, and science, or atheism, with natural inquiry and human responsibility?",earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,1
30,lowder-turek-naturalism-theism-2016,Jeffery Jay Lowder vs Frank Turek: Naturalism or Theism?,"What better explains reality: naturalism, where the physical explains the mental, or theism, where God grounds creation, reason, information, morality, evil, and science?",earlier,con,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,15
31,oconnor-craig-resurrection-2023,Alex O'Connor vs William Lane Craig: Did Jesus Rise From the Dead?,"Does the historical evidence make Jesus' resurrection the best explanation of the facts, or should skeptical alternatives and evidential caution prevent that conclusion?",earlier,pro,Resurrection & historical evidence,True,one published theistic/religious side and one published non-theistic/skeptical side,2
32,knechtle-oconnor-halper-biblical-god-2024,Cliffe and Stuart Knechtle vs Alex O'Connor and Phil Halper: Does the Biblical God Exist?,"Does the biblical God exist, given moral experience, Jesus, scripture, animal suffering, biblical violence, religious geography, and resurrection evidence?",unlocked,,,False,Multi-speaker or non-comparable scoring format,
33,craig-carroll-god-cosmology-2014,William Lane Craig vs Sean Carroll: God and Cosmology,"Does contemporary cosmology make God's existence more probable, or do naturalistic cosmological models better explain the universe without theism?",earlier,pro,"Cosmology, science & design",True,one published theistic/religious side and one published non-theistic/skeptical side,7
34,goff-carroll-consciousness-fundamental-2023,Philip Goff vs Sean Carroll: Is Consciousness Fundamental?,"Is consciousness a fundamental feature of reality, or can physicalism explain conscious experience through higher-level descriptions of the physical world?",earlier,,,False,no position-level theist-vs-non-theist comparison,
35,carroll-shermer-hutchinson-dsouza-science-religion-2012,Sean Carroll and Michael Shermer vs Ian Hutchinson and Dinesh D'Souza: Has Science Refuted Religion?,"Has science refuted religion, or does that claim overreach by confusing scientific method with scientism and by ignoring non-scientific forms of evidence?",unlocked,,,False,Multi-speaker or non-comparable scoring format,
36,carroll-halvorson-metaphysics-worldview-2016,Sean Carroll vs Hans Halvorson: Metaphysics,"How should scientific knowledge be integrated into naturalist and theistic worldviews, and do cosmology, fine-tuning, quantum mechanics, consciousness, morality, and meaning favor either metaphysical picture?",earlier,con,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,-3
37,ehrman-bass-resurrection-history-2023,Bart Ehrman vs Justin Bass: Did Jesus of Nazareth Rise From the Dead?,"Did Jesus of Nazareth historically rise from the dead, and do the early resurrection appearances, the unexpected messianic claim, Christianity's spread, and later visions make that explanation plausible?",earlier,pro,Resurrection & historical evidence,True,one published theistic/religious side and one published non-theistic/skeptical side,10
38,mcdowell-ehrman-moral-objectivity-2026,"Sean McDowell vs Bart Ehrman: The Moral Argument, Guilt, and the Teachings of Jesus","Do Jesus' teachings and the West's moral transformation point to objective moral truths grounded beyond human preference, or can morality be explained as historically shaped human inclination without divine grounding?",earlier,,,False,no position-level theist-vs-non-theist comparison,
39,lambert-jones-christian-faith-skepticism-2021,Derek Lambert vs Michael Jones: Atheist and Christian Discussion,"Can Christian belief be rationally sustained amid skeptical challenges about faith, hell, resurrection evidence, biblical reliability, religious experience, the Exodus, and parallels with other ancient traditions?",earlier,pro,"Scripture, revelation & doctrine",True,one published theistic/religious side and one published non-theistic/skeptical side,2
40,enoch-bush-objective-moral-truths-2026,David Enoch vs Lance Bush: Are There Objective Moral Truths?,"Are there objective moral truths, and does moral realism or global normative anti-realism better explain ordinary moral judgment, deliberation, language, and disagreement?",earlier,,,False,no position-level theist-vs-non-theist comparison,
41,huemer-bush-objective-moral-facts-2024,Michael Huemer vs Lance Bush: Do Objective Moral Facts Exist?,"Do objective moral facts exist, and can ethical intuitionism establish moral realism against anti-realist quietism, folk metaethical indeterminacy, and language-use objections?",earlier,,,False,no position-level theist-vs-non-theist comparison,
42,schmid-tomaszewski-divine-simplicity-2020,Joe Schmid vs Chris Tomaszewski: Is Divine Simplicity True?,"Is divine simplicity, understood as God's absence of real intrinsic parts or composition, coherent with classical theism, Trinitarian doctrine, divine freedom, and omniscient knowledge of contingent reality?",earlier,pro,"Scripture, revelation & doctrine",False,one published theistic/religious side and one published non-theistic/skeptical side,1
43,meyer-halper-cosmology-fine-tuning-2026,Stephen Meyer vs Phil Halper: The Big Bang and Fine-Tuning,"Does modern cosmology, especially Big Bang evidence and cosmic fine-tuning, make theism or intelligent design a better explanation than naturalistic early-universe models?",earlier,pro,"Cosmology, science & design",True,one published theistic/religious side and one published non-theistic/skeptical side,11
44,oconnor-biddle-free-will-2025,Alex O'Connor vs Craig Biddle: Free Will - Do You Have It?,"Do human beings have free will, either as ultimate control over action or as a volitional capacity to focus and use reason?",earlier,,,False,no position-level theist-vs-non-theist comparison,
45,singer-frazier-swinburne-oconnor-morality-2025,"Peter Singer, Jessica Frazier, Richard Swinburne, and Alex O'Connor: The Mystery of Morality","Are moral truths real features of reason, consciousness, religion, or emergent human life, or are moral claims best understood as expressions of feeling?",unlocked,,,False,Multi-speaker or non-comparable scoring format,
46,shapiro-oconnor-atheist-delusion-society-2023,"Ben Shapiro vs Alex O'Connor: The Atheist Delusion, Free Will, and Society","Does atheism depend on borrowed religious or extra-natural assumptions about free will, morality, reason, and social order, or can secular life face the truth without religious scaffolding?",earlier,pro,"Religion, culture & meaning",False,one published theistic/religious side and one published non-theistic/skeptical side,16
47,jones-krauss-christianity-secular-ethics-2025,Michael Jones vs Lawrence Krauss: Christianity or Secular Ethics - What's Best for Society?,"Which is better for society: Christianity, understood as a Christian-value society with a largely Christian population, or secular ethics?",earlier,pro,Morality & moral foundations,False,one published theistic/religious side and one published non-theistic/skeptical side,-3
48,scrivener-folley-hiddenness-evil-moral-narrative-2025,"Glen Scrivener vs Joe Folley: Morality, Evil, Consciousness, and Christian Narrative","Does Christian theism better account for hiddenness, evil, consciousness, morality, and moral progress than agnostic or naturalistic alternatives?",earlier,pro,"Evil, suffering & hiddenness",True,one published theistic/religious side and one published non-theistic/skeptical side,10
49,dyer-dillahunty-transcendental-theism-2019,Jay Dyer vs Matt Dillahunty: Transcendental Argument for Theism,"Does the transcendental argument show that Orthodox Christian theism is needed to ground logic, truth, induction, ethics, and knowledge?",earlier,pro,"Mind, reason & logic",True,one published theistic/religious side and one published non-theistic/skeptical side,13
50,knechtle-dillahunty-christianity-true-2023,Cliffe Knechtle vs Matt Dillahunty: Is Christianity True?,"Is Christianity true, and do the Gospels, resurrection claims, moral meaning, and human value give sufficient warrant for Christian faith?",earlier,pro,"Scripture, revelation & doctrine",True,one published theistic/religious side and one published non-theistic/skeptical side,17
51,lennox-atkins-duelling-professors-2012,John Lennox vs Peter Atkins: Duelling Professors on Science and God,"Do science, design, DNA, natural law, morality, and human experience point toward Christian theism or toward an atheistic naturalist account?",earlier,pro,"Cosmology, science & design",True,one published theistic/religious side and one published non-theistic/skeptical side,-7
52,horn-dillahunty-resurrection-reasonable-2021,Trent Horn vs Matt Dillahunty: Is Belief in the Resurrection Reasonable?,"Is it reasonable to believe Jesus of Nazareth rose from the dead, given historical testimony, expected evidence, background knowledge, and standards for unusual claims?",earlier,pro,Resurrection & historical evidence,True,one published theistic/religious side and one published non-theistic/skeptical side,1
53,oconnor-dsouza-bible-true-2024,Alex O'Connor vs Dinesh D'Souza: Is the Bible True?,"Is the Bible true in historical, moral, allegorical, theological, and revelatory senses, or do contradictions and morally troubling texts undermine its truth claims?",earlier,pro,"Scripture, revelation & doctrine",True,one published theistic/religious side and one published non-theistic/skeptical side,15
54,jones-law-christianity-humanism-future-2025,Michael Jones vs Stephen Law: Christianity vs Humanism,"Does Christianity or humanism offer a brighter future for humanity, especially for moral formation, social health, human rights, truth, and pluralistic freedom?",earlier,pro,Morality & moral foundations,False,one published theistic/religious side and one published non-theistic/skeptical side,9
55,craig-malpass-kalam-nothing-2026,William Lane Craig vs Alex Malpass: Can Something Come From Nothing?,"Does the Kalam cosmological argument show that the universe began to exist, has a cause, and points to a personal creator?",earlier,pro,"Cosmology, science & design",True,one published theistic/religious side and one published non-theistic/skeptical side,16
56,huemer-lutz-morality-real-2026,Mike Huemer vs Matt Lutz: Is Morality Real?,"Are there objective moral facts, and can moral knowledge be justified by appearances rather than only by best-explanation evidence?",earlier,,,False,no position-level theist-vs-non-theist comparison,
57,scrivener-dillahunty-atheism-morality-2020,Glen Scrivener vs Matt Dillahunty: Can Atheism Deliver a Better World?,Can atheism or secular humanism provide a better moral foundation for society than Christianity?,earlier,pro,Morality & moral foundations,False,one published theistic/religious side and one published non-theistic/skeptical side,9
58,dillahunty-slick-secular-humanism-christianity-2016,Matt Dillahunty vs Matt Slick: Is Secular Humanism Superior to Christianity?,"Is secular humanism superior to Christianity at achieving human flourishing, rational decision-making, moral reasoning, and conflict resolution?",earlier,con,Morality & moral foundations,True,one published theistic/religious side and one published non-theistic/skeptical side,8
59,bollore-halper-god-science-evidence-2026,Michel-Yves Bollore vs Phil Halper: Does Science Point to God?,"Do cosmology, fine-tuning, origin-of-life research, biblical claims, and suffering make the Christian God more or less plausible?",earlier,pro,"Cosmology, science & design",True,one published theistic/religious side and one published non-theistic/skeptical side,19
60,horn-oconnor-jesus-resurrection-2026,Trent Horn vs Alex O'Connor: Did Jesus Rise From the Dead?,"Did Jesus physically rise from the dead, and do early Christian testimony, rival miracle claims, martyrdom, and the empty tomb make that conclusion historically reasonable?",earlier,pro,Resurrection & historical evidence,True,one published theistic/religious side and one published non-theistic/skeptical side,8
61,scrivener-oconnor-morality-bible-slavery-2026,"Glen Scrivener vs Alex O'Connor: Morality, Freedom, Slavery, and the Bible","Did Christian faith give the modern West its beliefs in kindness, equality, freedom, consent, and abolition, or are those values better explained by mixed traditions, social struggle, and secular moral development?",earlier,pro,Morality & moral foundations,False,one published theistic/religious side and one published non-theistic/skeptical side,8
62,pageau-folley-logos-meaning-resurrection-2026,"Jonathan Pageau vs Joe Folley: Genesis, Jesus, Science, and Faith","Do patterns, symbolism, Genesis, resurrection, worship, and social meaning point toward God as Logos, or can they be explained by human cognition, pragmatic abstraction, and bottom-up social life?",earlier,pro,"Religion, culture & meaning",False,one published theistic/religious side and one published non-theistic/skeptical side,12
63,butt-shermer-god-bible-2023,Kyle Butt vs Michael Shermer: Does the God of the Bible Exist?,"Does the God of the Bible exist, and do causation, design, morality, Jesus, religious diversity, suffering, and evidential standards support or undermine that claim?",earlier,pro,"Scripture, revelation & doctrine",True,one published theistic/religious side and one published non-theistic/skeptical side,15
64,pine-watkins-god-existence-2020,Gregory Pine vs Ben Watkins: Does God Exist?,"Does God exist, and do Thomistic arguments from being, act and potency, divine simplicity, revelation, evil, freedom, and changing knowledge support or undermine classical theism?",earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,7
65,donahue-malpass-fine-tuning-god-2026,Miles K. Donahue vs Alex Malpass: Does Fine-Tuning Point to God?,"Does cosmic fine-tuning provide strong evidence for God, or can naturalistic alternatives, hypothesis-space ambiguity, and doubts about divine psychology undercut that inference?",earlier,pro,"Cosmology, science & design",True,one published theistic/religious side and one published non-theistic/skeptical side,1
66,donahue-fodor-case-against-christianity-2025,Miles K. Donahue vs James Fodor: The Case Against Christianity,"Do philosophical arguments, biblical beauty, religious experience, and resurrection evidence make Christianity credible, or do evil, disagreement, expert dissent, and Christian moral failure make it unlikely?",earlier,pro,"Scripture, revelation & doctrine",True,one published theistic/religious side and one published non-theistic/skeptical side,2
67,jones-fodor-digital-physics-god-2021,Michael Jones vs James Fodor: The Digital Physics Argument for God,"Does digital physics, emergent spacetime, quantum information, and idealist metaphysics make God the best explanation of reality, or is a materialist ontology simpler and better disciplined?",earlier,pro,"Mind, reason & logic",True,one published theistic/religious side and one published non-theistic/skeptical side,16
68,jones-dillahunty-quantum-idealism-demonstrability-2026,Michael Jones vs Matt Dillahunty: Quantum Idealism and Demonstrability,"Does quantum mechanics and idealism provide good reason to treat consciousness or a divine mind as fundamental, or does the claim fail public demonstrability and physical-interaction tests?",earlier,pro,"Mind, reason & logic",True,one published theistic/religious side and one published non-theistic/skeptical side,17
69,winger-dillahunty-resurrection-unreasonable-2019,Mike Winger vs Matt Dillahunty: Is Belief in the Resurrection Unreasonable?,"Is belief in Jesus' resurrection reasonable given the historical claims, testimonial sources, rival explanations, and evidential burden for supernatural causation?",earlier,pro,Resurrection & historical evidence,True,one published theistic/religious side and one published non-theistic/skeptical side,6
70,malpass-anderson-logic-god-2021,Alex Malpass vs James Anderson: Does Logic Prove God?,"Does the existence of necessary truths or laws of logic support a necessarily existing divine mind, or can propositions be explained without God?",earlier,pro,"Mind, reason & logic",True,one published theistic/religious side and one published non-theistic/skeptical side,-4
71,hitchens-kushner-gomes-god-religion-morality-2009,"Christopher Hitchens vs Harold Kushner and Peter Gomes: God, Religion, and Morality","Does belief in God and religious tradition provide necessary moral meaning, resilience, and communal wisdom, or does religion add false claims, sectarian authority, and distinctive moral harms?",unlocked,,,False,Multi-speaker or non-comparable scoring format,
72,dyer-malpass-tag-argument-2019,Jay Dyer vs Alex Malpass: The TAG Argument,"Does the transcendental argument show that logic, induction, knowledge, and ethics require the Orthodox Christian God, or can those preconditions be understood without that presupposition?",earlier,pro,"Mind, reason & logic",True,one published theistic/religious side and one published non-theistic/skeptical side,17
73,hawkins-folley-free-will-compatibilism-2026,Nathan Hawkins vs Joe Folley: Do We Really Have Free Will?,"Does human freedom require libertarian alternative possibilities and sourcehood, or can compatibilist notions of will, responsibility, and practical agency survive determinism?",earlier,,,False,no position-level theist-vs-non-theist comparison,
74,rasmussen-malpass-suffering-causal-finitism-2021,"Josh Rasmussen vs Alex Malpass: Suffering, Theism, and Causal Finitism","Do Grim Reaper-style paradoxes support causal finitism, and does the existence and distribution of suffering favor theism or the hypothesis of indifference?",earlier,pro,"Evil, suffering & hiddenness",True,one published theistic/religious side and one published non-theistic/skeptical side,7
75,rasmussen-clifton-contingency-argument-2019,Josh Rasmussen vs Scott Clifton: Is the Contingency Argument Persuasive?,Is the argument from contingency persuasive in moving from contingent reality to a necessary or automatically actual foundation?,earlier,pro,"Cosmology, science & design",True,one published theistic/religious side and one published non-theistic/skeptical side,8
76,craig-oppy-mathematics-theism-2020,William Lane Craig vs Graham Oppy: Does Math Point to God?,Does the surprising applicability of mathematics to the physical world support theism better than naturalism?,earlier,pro,"Mind, reason & logic",True,one published theistic/religious side and one published non-theistic/skeptical side,3
77,feser-oppy-arguments-for-god-2020,Ed Feser vs Graham Oppy: Are There Any Good Arguments for God?,"Are there good arguments for God, and does Feser's Aristotelian proof survive Oppy's theory-comparison and persistence objections?",earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,-5
78,albrecht-oppy-resurrection-ancient-christianity-2023,William Albrecht vs Graham Oppy: Resurrection and Ancient Christianity,"Do Paul's letters, Gospel transmission, hostile witnesses, and early church structures make the bodily resurrection and Catholic continuity historically credible?",earlier,pro,Resurrection & historical evidence,True,one published theistic/religious side and one published non-theistic/skeptical side,7
79,swinburne-oppy-theism-probability-2022,Richard Swinburne vs Graham Oppy: Is Theism Probable?,"Is theism more probable than naturalism when judged by simplicity, explanatory scope, fine-tuning, consciousness, and modality?",earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,5
80,rasmussen-schmid-argument-from-limits-2023,Josh Rasmussen vs Joe Schmid: The Argument from Limits,Does the argument from arbitrary limits successfully move from a fundamental reality or necessary foundation toward God-like perfection?,earlier,pro,"Mind, reason & logic",True,one published theistic/religious side and one published non-theistic/skeptical side,6
81,rasmussen-oppy-ultimate-reality-naturalism-2020,"Josh Rasmussen vs Graham Oppy: Theism, Naturalism, and Ultimate Reality","Is a theistic supreme foundation or a naturalistic initial reality the better account of ultimate reality, mind, and worldview simplicity?",earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,4
82,bush-mcallister-moral-anti-realism-realism-2025,Lance Bush vs Derek McAllister: Moral Anti-Realism vs Realism,"Does moral realism have a common-sense, historical, or semantic advantage over moral anti-realism?",earlier,,,False,no position-level theist-vs-non-theist comparison,
83,loke-oppy-kalam-causal-principle-2020,Andrew Loke vs Graham Oppy: Is the Kalam Sound?,Does Loke's reformulated Kalam cosmological argument successfully establish a beginningless personal creator of the universe?,earlier,pro,"Cosmology, science & design",True,one published theistic/religious side and one published non-theistic/skeptical side,12
84,krauss-meyer-lamoureux-god-science-universe-2016,"Lawrence Krauss vs Stephen Meyer and Denis Lamoureux: God, Science, and the Universe","Do cosmology, evolution, and biological information point beyond scientific naturalism to God, design, or a theistic interpretation of nature?",unlocked,,,False,Multi-speaker or non-comparable scoring format,
85,atkins-fox-god-science-future-humanity-2024,Peter Atkins vs Keith Fox: God vs Science Debate,"Do science, evolution, and future technology make God unnecessary, or do value, personhood, origins, and hope point beyond scientific materialism?",earlier,con,"Cosmology, science & design",True,one published theistic/religious side and one published non-theistic/skeptical side,-15
86,egnor-dillahunty-god-existence-2021,Michael Egnor vs Matt Dillahunty: Does God Exist?,"Does God exist, and do Thomistic proofs, moral law, and natural theology meet the burden of proof against skeptical atheism?",earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,12
87,christopoulos-dillahunty-resurrection-historical-event-2024,Than Christopoulos vs Matt Dillahunty: Is the Resurrection a Historical Event?,Does the historical evidence make Jesus' resurrection more probable than competing hypotheses?,earlier,pro,Resurrection & historical evidence,True,one published theistic/religious side and one published non-theistic/skeptical side,9
88,sechler-dillahunty-perfect-mind-universe-2022,Zac Sechler vs Matt Dillahunty: Did a Perfect Mind Create the Universe?,"Did a perfect mind create the universe, and do simplicity, moral agents, beauty, fine-tuning, meaning, and purpose favor that hypothesis over non-theism?",earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,4
89,bignon-oppy-religious-experience-god-2022,Guillaume Bignon vs Graham Oppy: Religious Experience and the Case for God,"Can Bignon's conversion story, religious experience, and supporting arguments rationally support Christian belief, or do rival experiences and naturalist explanations undercut their evidential force?",earlier,pro,"Religion, culture & meaning",False,one published theistic/religious side and one published non-theistic/skeptical side,5
90,akin-ehrman-gospels-historically-reliable-2022,Jimmy Akin vs Bart Ehrman: Are the Gospels Historically Reliable?,"Are the canonical Gospels historically reliable despite alleged contradictions in the birth narratives, resurrection accounts, and Jesus' self-presentation?",earlier,pro,"Scripture, revelation & doctrine",False,one published theistic/religious side and one published non-theistic/skeptical side,7
91,cutter-oppy-mind-brain-harmony-god-2025,Brian Cutter vs Graham Oppy: Does Mind-Brain Harmony Point to God?,"Does psychophysical harmony, the apparent fit between conscious states and physical or functional states, provide evidence for God over naturalism?",earlier,pro,"Mind, reason & logic",True,one published theistic/religious side and one published non-theistic/skeptical side,0
92,craig-malpass-universe-begin-exist-2020,William Lane Craig vs Alex Malpass: Did the Universe Begin to Exist?,Do actual-infinity and successive-addition arguments give adequate philosophical support for the Kalam claim that the universe began to exist?,earlier,pro,"Cosmology, science & design",True,one published theistic/religious side and one published non-theistic/skeptical side,11
93,hunter-dillahunty-christian-god-exist-2019,Braxton Hunter vs Matt Dillahunty: Does the Christian God Exist?,"Does the Christian God exist, and do libertarian freedom, the Kalam argument, resurrection evidence, hiddenness, and inconsistent revelation make Christian theism more reasonable than skepticism?",earlier,pro,"Scripture, revelation & doctrine",True,one published theistic/religious side and one published non-theistic/skeptical side,9
94,swinburne-huemer-theism-coherent-2026,Richard Swinburne vs Michael Huemer: Is Theism Coherent?,"Is theism coherent, especially if God is described as omnipotent, omniscient, perfectly good, and infinite in power or knowledge?",earlier,pro,General theism & naturalism,True,one published theistic/religious side and one published non-theistic/skeptical side,8
